date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2001%20Feb%202023%2005:51:26%20GMT	https://www.kashima-inu.com/robots.txt		(from )
00:51:26	12220/12220	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2005:51:26%20GMT	https://www.kashima-inu.com/	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/www.kashima-inu.com/index.html	(from )
00:51:27	90892/90892	---M-Z	200	added ('OK')	text/css	etag:%2273d41d67107004b0452d7f654108db20%22	https://assets.website-files.com/63d94886395b898bed6659c0/css/kashima-inu.webflow.b81948b92.css	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/css/kashima-inu.webflow.b81948b92.css	(from https://www.kashima-inu.com/)
00:51:27	2503/2503	---M--	200	added ('OK')	image/png	etag:%2252cb7cda822f3dfe254f787eef3b9e1b%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d9bc9c58edcf6b2a0ca487_kashhhh%202.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d9bc9c58edcf6b2a0ca487_kashhhh%202.png	(from https://www.kashima-inu.com/)
00:51:27	19282/19282	---M--	200	added ('OK')	image/png	etag:%22d1b164bdb9c95d4911f424be169a2444%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d94887395b89d36a6659d9_bb-corp-logo-xl.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d94887395b89d36a6659d9_bb-corp-logo-xl.png	(from https://www.kashima-inu.com/)
00:51:28	446405/446405	---M--	200	added ('OK')	image/png	etag:%224ee250b3cf778a886abd504a03cffcd9%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d96fbac125bde425870429_kashhhh.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d96fbac125bde425870429_kashhhh.png	(from https://www.kashima-inu.com/)
00:51:28	8350/8350	---M--	200	added ('OK')	image/png	etag:%220139bc5bdf466894ec687696e2dc65cd%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d94887395b89f2196659eb_close.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d94887395b89f2196659eb_close.png	(from https://www.kashima-inu.com/)
00:51:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2001%20Feb%202023%2005:51:28%20GMT	https://www.kashima-inu.com/eco-conception-numerique	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/www.kashima-inu.com/eco-conception-numerique	(from https://www.kashima-inu.com/)
00:51:28	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=63d94886395b898bed6659c0	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c86049.js	(from https://www.kashima-inu.com/)
00:51:29	1030684/1030684	---M-Z	200	added ('OK')	text/javascript	etag:%2263555a24b3dd3e3b4e5ad9d13b0b138d%22	https://assets.website-files.com/63d94886395b898bed6659c0/js/webflow.5e78bd125.js	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/js/webflow.5e78bd125.js	(from https://www.kashima-inu.com/)
00:51:29	572549/572549	---M--	200	added ('OK')	image/png	etag:%22386fec431d746b70d3e05352e0b78503%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d9657615f863b394805a48_kash71.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d9657615f863b394805a48_kash71.png	(from https://assets.website-files.com/63d94886395b898bed6659c0/css/kashima-inu.webflow.b81948b92.css)
00:51:29	10996/10996	---M--	200	added ('OK')	image/png	etag:%22c65deb8ec10c92954226f56e6c627429%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d94887395b8975556659e9_jordan.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d94887395b8975556659e9_jordan.png	(from https://assets.website-files.com/63d94886395b898bed6659c0/css/kashima-inu.webflow.b81948b92.css)
00:51:29	3467/3467	---M--	200	added ('OK')	image/png	etag:%22813501f2f11b9bb6a3617fe479ee72eb%22	https://assets.website-files.com/63d94886395b898bed6659c0/63d94887395b8978f66659d7_pattern.png	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/assets.website-files.com/63d94886395b898bed6659c0/63d94887395b8978f66659d7_pattern.png	(from https://assets.website-files.com/63d94886395b898bed6659c0/css/kashima-inu.webflow.b81948b92.css)
00:51:30	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2001%20Feb%202023%2005:51:30%20GMT	https://www.kashima-inu.com/eco-conception-numerique	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/www.kashima-inu.com/eco-conception-numerique	(from https://www.kashima-inu.com/)
00:51:30	16/16	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2001%20Feb%202023%2005:51:30%20GMT	https://www.kashima-inu.com/eco-conception-numerique	C:/Users/Dream/Desktop/site-templates/www.kashima-inu.com/www.kashima-inu.com/eco-conception-numerique	(from https://www.kashima-inu.com/)
